x,y,z,sample_id,tissue
-1.2097377894984631,0.005830064098043207,0.025700420128892072,148,BM
-1.3937251923381355,0.040911310778791836,0.022102659520183403,149,BM
-1.3744493597883556,0.05249215142582351,0.01747737999917922,150,BM
-1.250485009131479,0.024353944978865224,-0.02439330380907184,151,Colon
-1.4148174863891352,0.07968452154185864,-0.02472860588767813,152,Colon
-1.368894940459692,0.07161245351047243,-0.031598048499609926,153,Colon
-1.1727109575406316,-0.014369727820599578,-0.059878119774301165,154,Ileum
-1.3759498922586006,0.047057510846592,-0.06318081892362187,155,Ileum
-1.4687613318876163,0.06449573873892624,-0.04921759312587878,156,Ileum
-0.799581100475114,-0.0809182274418526,-0.08320272715012954,160,Jejunum
-1.322432922040788,0.03209610056546477,-0.05951517745740635,161,Jejunum
-1.4471037914568505,0.07063869500495175,-0.04279439405443063,162,Jejunum
-1.5880971142256326,0.0997030619612206,0.0036957288706352645,163,Lung
-1.578345335022573,0.10243431740489373,0.0036870688444793414,164,Lung
-1.5735555699163744,0.10553476675005463,0.0016304856094484287,165,Lung
-1.5508649190480945,0.07039728043313875,-0.0024876777808731762,166,MLN
-1.6314014013345497,0.09108812063075433,0.0010089724169543121,167,MLN
-1.5900851111167307,0.09166579404094177,-0.0020570568077521267,168,MLN
-1.173722987207167,-0.013698348894978361,0.011098905998144856,169,PBL
-1.6310561897475464,0.0914182720794543,0.0015255389857131152,170,PBL
-1.619841148835984,0.08746797258441938,-0.0010695005420857818,171,PBL
-1.1999037055386566,0.040466750720094175,0.04813736695792465,172,SPL
-1.3337552647541016,0.07523703572304095,0.039832582685062005,173,SPL
-1.323680391640247,0.07976897698912301,0.03539540370415575,174,SPL
1.78962959417916,-0.17109971451102912,0.34468459587677436,637,BM
1.722093506714628,-0.19154831154798854,0.35609162177195086,638,BM
1.8696293946040896,-0.13465539803965984,0.3371332541493113,639,BM
1.7823504479824537,-0.3271816979161226,0.012637003626191396,640,Colon
0.7821889215959092,-0.35233775004847967,-0.08325146839633175,641,Colon
0.7648802899687155,-0.357881678495251,-0.09629709533082104,642,Colon
0.9727047581834544,-0.4727500883685964,-0.3021769884176447,643,Ileum
0.8920571128892912,-0.46240813900060296,-0.29196477602078863,644,Ileum
0.9111083860385188,-0.46518231896750184,-0.3086985282141059,645,Ileum
2.1504316855539485,-0.35015895552924275,-0.22228934968313774,649,Jejunum
1.9121896339250077,-0.4238252420732617,-0.22239248288210295,650,Jejunum
2.0268994305881023,-0.40293998524556324,-0.20314878624123298,651,Jejunum
-1.1567008907884084,0.060382380067991945,0.02568721692148105,652,Lung
-1.189375619872434,0.06254589455750047,0.024408088388989207,653,Lung
-1.3289820357756152,0.08111283598776249,0.022026010154458927,654,Lung
2.8783593405629255,0.43683518711392705,-0.13935971903797895,655,MLN
3.0685440270823667,0.517705428800557,-0.2553442775566029,656,MLN
3.001623185571876,0.4937730339585641,-0.2154106055430102,657,MLN
-1.2669038599426476,0.03635896017002546,0.015573435509820766,658,PBL
-1.3747343220176884,0.05685612826086784,0.015619595779834117,659,PBL
-0.9188942233662091,-0.04169941876391163,0.045096509710364566,660,PBL
1.8882460679373532,-0.13417724801996467,0.45635225472251595,661,SPL
1.8887837873938635,-0.13610482645496627,0.468038911889559,662,SPL
1.8836869200199076,-0.1367686160714187,0.46233408158347294,663,SPL
